ALB ,BSG 
EGFR ,ITGA2 
LTF ,CTSD 
ANXA1 ,APOE 
VTN ,ICAM4 
LTF ,BTD 
ITGB3 ,LAMC1 
APOC3 ,SERPINA1 
ITGAV ,MAG 
ANXA2 ,TGM4 
F2 ,ITGAV 
GSN ,ANXA1 
PIGR ,TGM4 
CP ,SIAE 
ALB ,SERPINA3 
ANXA1 ,FSTL1 
SERPIND1 ,SDF4 
F2 ,ITGB4
APOA2 ,SMPDL3A 
APOC3 ,AZGP1 
MIF ,DCD 
LTF ,HSD17B12 
HP ,ITGA3 
PKM ,ALDOA 
HPX ,HYOU1 
NR3C1 ,P4HB 
ICAM2 ,OR8D2 
CTSD ,CTSD 
VTN ,PIGR 
HEL111 ,ANXA2 
CALR ,CALU 
APOC3 ,ITGA5 
TOR1A ,ANXA1 
CST3 ,M6PR 
LAMB1 ,HSPG2 
PKM ,SAA4 
CP ,SAR1A 
TGFBR2 ,ITGB1 
APOE ,TSPEAR 
ITGB1 ,C2 
CTSD ,OR8D2 
KRT1 ,FGA 
APOA2 ,ITGB1
CLU ,TACSTD2 
FGF1 ,FGFR2 
CFB ,HSPG2 
ITGB2 ,ADRA1B 
GPC4 ,ATP1B3 
ITGB1 ,EGFR 
ANXA5 ,THBS1 
ANXA2 ,STOML2 
GSN ,LGALS3BP 
CFD ,F2 
INHBA ,ITIH1 
F2 ,OR8D2 
ANXA2 ,ITGB4 
CLU ,RPSA 
F2 ,ATP1B3 
CFD ,CALU 
ALB ,EGFR 
CLU ,HSD17B12 
APOA2 ,SERPIND1 
FOLR1 ,GUSB 
APOE ,CTSB 
ICAM2 ,PPT1 
CALR ,ATP1B3 
PIGR ,NAXE 
ANXA1 ,FGA 
FN1 ,HSP90B1 
CP ,PKM
TF ,CFH 
CFD ,PSAP 
ITGB3 ,ACVR2B 
FOLR1 ,SMPDL3A 
APOC3 ,YARS1 
ANXA1 ,S100A7 
EGFR ,RYR2 
PIGR ,ANXA5 
CFD ,PRSS1 
ITGAV ,RPSA 
CFB ,ITGB4
PSAP ,FGA 
CFD ,TACSTD2 
NR3C1 ,HSP90B1 
ANXA2 ,ITGAV 
ITGA5 ,RYR2 
EL52 ,PPBP 
APOC1 ,TREML2 
ITGB3 ,ITGAM 
ITGA4 ,THBS1 
LAMC1 ,ITGB6 
SERPING1 ,PKM
GUSB ,FN1 
F2 ,TREML2 
GSN ,P4HB 
CLU ,CALU 
LAMC1 ,ACVR2B 
VTN ,SMPDL3A 
APOC3 ,FGB 
PLXNB2 ,ITGA11 
CFD ,ANXA1 
VTN ,OR8D2 
EL52 ,EL52 
LTF ,DPP7 
ITGB3 ,HMGB1 
FOLR1 ,PRSS3 
CALU ,PCYOX1 
VTN ,ACVR2B 
SERPING1 ,ITGA3 
TGFBR2 ,PCYOX1 
KRT1 ,C1QA 
APOE ,APOE 
F7 ,SLC1A5
ALB ,CFD 
EL52 ,PNLIP 
ALB ,CHI3L2 
LPL ,HYOU1 
ITGB1 ,DCC 
HSP90B1 ,ANXA5 
LAMB1 ,ITIH1 
CTSD ,SLC1A5 
CFD ,NAXE 
CFD ,TGM4 
ALDOA ,ITGB4
CFB ,HSP90B1 
FOLR1 ,OR2T6 
FGA ,P4HB 
ITGB1 ,FGFR1 
EGFR ,ITGA11 
ITGB1 ,S100A4 
PKM ,ITGB1
ANXA2 ,CD276 
ALB ,LAMC1 
PSAP ,ALDOA 
LTF ,P3H1 
TGFBR2 ,ERP44 
RPSA ,ITGB1 
GPC4 ,PKM 
EL52 ,SERPINF1 
ITGB3 ,KLK3 
HEL111 ,HSD17B12 
CLU ,PSAP 
CTSL ,PKM 
CFB ,BTD 
ESR1 ,ANXA2 
APOC1 ,RYR1 
APOE ,CFH 
FGA ,YARS1 
LTF ,MYDGF 
ITGAV ,ICAM4
ITGB3 ,P4HB 
CFB ,SDF2 
CP ,SLC1A5
LTF ,SAA4 
FN1 ,PKM
APOE ,PAPPA 
ITGAV ,F7 
ALDOA ,PAPPA 
IGF2R ,ANXA2 
ANXA2 ,SMPDL3A 
CP ,IGF2R 
LAMA5 ,FN1 
APOC3 ,GUSB 
APOC1 ,ICAM4
TF ,PON2 
KRT1 ,ALB 
ITGB1,ITGB4 
GUSB ,ITGA11 
ITGB3 ,DCD 
INHBA ,LGALS3BP 
HSP90B1 ,CTSL 
ITGB3 ,CDH1 
ITGB5 ,TGFB2 
LOX ,CLU 
EL52 ,MMP3 
KRT1 ,KRT1 
ITGB5 ,C1QC 
EGFR ,STOML2 
HP ,ITGB1
PKM ,CTSD 
LTF ,HSPA13 
ANXA2 ,RYR1 
GPC4 ,ITGB1 
APOC3 ,THBS1 
RPSA ,PRSS3 
CFB ,HSPA13 
ITGB5 ,VCP 
CP ,ITGB1 
HEL111 ,SDF2L1 
A2M ,ITGA11 
P4HB ,TGM4 
HSP90B1 ,CLU 
CRTAP ,ITIH1 
EGFR ,VCP 
CRTAP ,ITGA2 
ITGB2 ,SLC1A5 
TNFRSF10B ,SDF4 
GSN ,ANXA5 
F2 ,CALR 
NR3C1 ,ITGB1 
CD44 ,DCD 
CALU ,PRDX4 
PKM ,THBS1 
EGFR ,TGM4 
SERPING1 ,THBS1 
ITGB1 ,BTN1A1 
SERPINA1 ,S100A7 
CFB ,ERP44 
F2 ,TFRC 
ITGA5 ,MAG 
ITGAV ,AHSG 
ITGA5 ,P4HB 
TFRC ,CDH1 
TF ,S100A4 
APOC3 ,ITGAV 
SERPINA1 ,NAXE 
VTN ,S100A7 
FOLR1 ,ITGAV 
ITGB1,ITGA6 
HLA-A ,C1QBP 
ITGB2 ,ITGB4 
PKM ,TACSTD2 
ALDOA ,ITGB3 
CP ,ERP44 
CLU ,GUSB 
VTN ,ITGA3 
HEL111 ,TSPEAR 
FOLR1 ,ANXA5 
ANXA1 ,OR3A2 
CRTAP ,P4HB 
CD36 ,KLK3 
EGFR ,SIAE 
P4HB ,FOLR1 
RPSA ,ANXA1 
P4HB ,ITGA4 
SERPING1 ,ANXA1 
ITGB5 ,GABBR1 
APOC3 ,GDF10 
RPSA ,SCARB1 
TGFBR2 ,PKM 
HPX ,C1QBP 
EL52 ,GPI 
TF ,CTSH 
ITGB1,HYOU1 
CFB ,ITGA3 
ITGA5 ,ITGB3 
ITGAV ,ANXA1 
M6PR ,PRDX5 
APOA2 ,STOML2 
GUSB ,KLK3 
ITGB1 ,NAXE 
A2M ,SAA4 
EL52 ,CFH 
EGFR ,SERPIND1 
ANXA2 ,EL52 
APOA2 ,ITGA11 
LAMC1 ,RPSA 
SERPIND1 ,SDF2L1 
VTN ,FGFR2
VTN ,PSAP 
HP ,BTD 
P4HB ,PAPPA 
CD36 ,PKM 
FN1 ,ATP1B3 
ANXA5 ,ITGB1
APOA2 ,FGFR1 
HEL111 ,ITGA2 
CP ,ICAM4
APOC1 ,MICA 
APOC1 ,STOML2 
HP ,ITGB4 
ITGB2 ,DCD 
LAMC1 ,EGFR 
ITGA5 ,AP2M1
VTN ,EFNB1 
CTSD ,F7 
EL52 ,ITGB5 
APOC3 ,ICAM4
TGFBR2 ,DPP7 
PKM ,SCARB1 
TF ,MAG 
ALB ,HP 
PKM ,TGM4 
KRT1 ,STOML2 
CLU ,ITIH1 
M6PR ,SDF2 
CNMD ,P3H1 
A2M ,CALU 
CLU ,ANXA1 
CNMD,FGA 
APOE ,HEL111 
EL52 ,BTN1A1 
ITGB4 ,SDF2L1 
ITGAV ,AP2M1
SERPING1 ,TGM4 
TOR1A ,TREML2 
CLU ,AHSG 
GPC4 ,ITIH1 
ICAM2 ,SDF2L1 
EL52 ,SPARC 
M6PR ,ICAM4 
CALR ,P4HB 
ITGA4 ,GUSB 
CST3 ,HSPA13 
APOE ,RYR1
GPC4 ,LGALS3BP 
F2 ,ANXA1 
ANGPT2 ,SDF4 
TF ,F7
CP ,ITGAV 
INHBA ,RYR2 
CP ,AHSG 
LAMA5 ,SAR1A 
APOA2 ,C1QA 
HP ,NAXE 
ITGB3 ,ITGA6 
HP ,PCYOX1 
HEL111 ,PRSS1 
CLU ,CTSB 
EGFR ,GUSB 
ANXA2 ,PF4V1 
CP ,EFNB1 
APOA2 ,GUSB 
CST3 ,DPP7 
TNFRSF10B ,DCD 
APOA2 ,CFD 
CLU ,LGALS1 
TF ,HNRNPM 
TF ,PLAUR
VTN ,YARS1 
HP ,ITGA11 
NRP1 ,P3H1 
CALU ,PPBP 
GUSB ,TFRC 
GSN ,ATP1B3 
ITGB4 ,ITGA6
HP ,PRDX5 
RPSA ,ITGA3 
ANXA2 ,RYR1
EGFR ,F7 
LAMA5 ,RYR2 
ITGB1 ,AZGP1 
LAMB1 ,RYR2 
IGF2R ,ITGB4 
APOC1 ,LGALS1 
LTF ,S100A8 
EGFR ,TREML2 
IGF2R ,CLU 
APOC3 ,PIGR 
TF ,AMBP 
PSAP ,TFRC 
ALDOA ,GUSB 
APOC1 ,FGFR2
ITGB5 ,AZGP1 
NR3C1 ,DPP7 
ITGB5 ,C2 
LAMC1 ,DCD 
VTN ,PCYOX1 
EGFR ,ITGA5 
DCN,ELN 
ANXA2 ,FOLR1 
GPC4 ,CD44 
GPC4 ,PRSS3 
M6PR ,CTSL 
PSAP ,SDF2L1 
VTN ,KRT1 
ALDOA ,CFB 
CLU ,P4HB 
SERPING1 ,PRSS1 
ANXA5 ,STOML2 
A2M ,FN1 
ITGB3 ,ITGA6
PLXNB2 ,PKM 
FGA ,NAXE 
APOA2 ,SDF2L1 
APOE ,FGFR1 
CALU ,FOLR1 
CST3 ,HSP90B1 
SERPIND1 ,P3H1 
M6PR ,CTSD 
LAMC1 ,CTSL 
RPSA ,SLC1A5
ITGB5 ,AOAH 
ALB ,ITGB5 
CFB ,IGF2R 
HSP90B1 ,HMGB2 
ANXA1 ,HSD17B12 
ITGAV ,ALDOA 
VTN ,GUSB 
PIGR ,PKM
EL52 ,FGFR2
PSAP ,ITGB1
ITGA4 ,KLK3 
LAMC1 ,CFB 
ITGB1 ,FGB 
LAMA5 ,PAPPA 
HEL111 ,ERP44 
ALDOA ,ACVR2B 
CFD ,BTD 
ITGB3 ,SLC1A5
M6PR ,ADRA1B 
SERPING1 ,PCYOX1 
CP ,P4HB 
ITGA5 ,TACSTD2 
A2M ,RYR2 
HP ,SCARB1 
APOC3 ,CTSB 
ANXA5 ,LAMC1 
ITGB1,ITGB4
NR3C1 ,CD44 
NR3C1 ,SDF2L1 
LDLR ,PPT1 
SERPING1 ,ITGA2 
ALB ,PON2 
CFD ,HSD17B12 
ALDOA ,PSAP 
ALB ,ITGB6 
ALB ,FGA 
ALDOA ,CFH 
TF ,VCP 
ITGB2 ,PCYOX1 
A2M ,ALDOA 
CALU ,YARS1 
SERPINA1 ,SAA4 
ALB ,MFGE8 
ITGB1 ,TFR2 
LAMA5 ,PKM
FOLR1 ,TFRC 
ITGB3 ,F2 
APOC3 ,TFRC 
ITGB2 ,ITGA3 
APOC3 ,BTN1A1 
TOR1A ,SIAE 
SERPINA1 ,AHSG 
CFD ,SAR1A 
ALDOA ,B2M 
CFD ,ITGA3 
ITGB1 ,CFB 
TOR1A ,SLC1A5 
PSAP ,ITGB4 
ESR1 ,PKM 
EGFR ,APOA1 
ALB ,AMBP 
SERPIND1 ,PPT1 
ITGB5 ,RPSA 
ITGB5 ,PNLIP 
SERPING1 ,HMGB1 
FN1 ,L1CAM 
GPC4 ,DPP7 
LAMA5 ,F7 
ITGA4 ,PF4V1 
APOC1 ,MFGE8 
EL52 ,FGG 
CLU ,B2M 
HSP90AA1,HSP90B1 
CALU ,ITGB4
ITGB5 ,LAMA1 
ITGB4 ,SDF2 
APOC3 ,SERPIND1 
VTN ,HSD17B12 
SERPING1 ,HMGB2 
CALU ,SAR1A 
P4HB ,LAMC1 
EGFR ,CD276 
TGFBR2 ,ALB 
P4HB ,COL5A1 
FOLR1 ,FN1 
GUSB ,THBS1 
ITGA4 ,OR3A2 
APOC3 ,TF 
CFB ,ITGB1
CFB ,M6PR 
CLU ,ITGAV 
ITGB5 ,PVR 
M6PR ,NAXE 
ITGB1 ,GABBR1 
ESR1 ,DCD 
FN1 ,ITGB4
ITGB2 ,TREML2 
SERPING1 ,SAA4 
APOC1 ,SERPINA1 
ITGB5 ,CFH 
ITGA4 ,APOA1 
HEL111 ,SAR1A 
APOC3 ,CTSG 
THBS1 ,P3H1 
EL52 ,PCSK2 
SERPINA1 ,LGALS1 
HP ,P4HB 
EL52 ,LAMA1 
APOA2 ,C1QC 
LOX ,ANXA5 
EGFR ,PRDX4 
F2 ,NAXE 
EL52 ,BDNF 
CP ,HSD17B12 
CST3 ,TSPEAR 
ITGB3 ,ITGA4 
CP ,TFRC 
CRTAP ,OR3A2 
VTN ,SIAE 
FOLR1 ,CALR 
CALR ,SLC1A5 
APOE ,GABBR1 
CTSD ,PRSS3 
HEL111 ,TFRC 
HP ,FOLR1 
A2M ,CDH1 
P4HB ,BTD 
APOA2 ,P3H1 
ITGB1 ,B2M 
GUSB ,SDF2 
ITIH1 ,HYOU1 
ALB ,SERPINA1 
SERPING1 ,SMPDL3A 
ITGB3 ,CFB 
CTSD ,ICAM4 
PNP ,ATP1B3 
CALR ,DCD 
CTSL ,ANXA2 
ALB ,PCSK2 
ITGB4 ,SDF4 
P4HB ,VCP 
EL52 ,SFRP2 
CFD ,S100A7 
P4HB ,F7 
PKM ,OR8D2 
APOC1 ,FGFR1
ALB ,HEL111 
ITGB5 ,HNRNPM 
VTN ,APOA1 
CST3 ,BTD 
ITGB3 ,AHSG 
CFD ,IGF2R 
LAMA5 ,ALDOA 
ALB ,FSTL1 
F7 ,SDF2L1 
PKM ,APOA2 
FN1 ,LGALS3BP 
HP ,PAPPA 
FGA ,SAR1A 
EL52 ,NELL1 
FOLR1 ,ACVR2B 
ITGB1 ,BCAN 
ITGAV ,CDH1 
CLU ,ITGA4 
KRT1 ,PPBP 
ITGA5 ,NAXE 
TOR1A ,APOA1 
CTSL ,SDF2L1 
ITGB3 ,PKM
APOE ,VCP 
SERPING1 ,P4HB 
VTN ,ITGA5 
TFRC ,ITGAM 
LAMC1 ,PKM
HP ,LAMC1 
CALU ,RPSA 
ANXA1 ,HNRNPM 
EGFR ,SDF2L1 
CRTAP ,RYR2 
ITGB1,IGF2R 
P4HB ,RYR1
ITGAV ,P4HB 
APOC3 ,MFGE8 
APOC3 ,AOAH 
ALDOA ,STOML2 
LTF ,CST3 
CLU ,C1QA 
INHBA ,P3H1 
P4HB ,RYR1 
A2M ,ITGB3 
APOC1 ,FSTL1 
APOC1 ,PROC 
SERPIND1 ,CD44 
LAMA5 ,PRSS3 
APOC1 ,RYR1
PSAP ,SAR1A 
FGA ,ALDOA 
ITGB1 ,C1QA 
LAMA5 ,CALR 
CFD ,IGFBP3 
ITGB3 ,OR3A2 
VTN ,SFRP2 
SERPING1 ,CALU 
ITGB1 ,HNRNPM
APOC3 ,MICA 
PLXNB2 ,P4HB 
ITGB1 ,PLAT 
GSN ,M6PR 
ALDOA ,PIGR 
KRT1 ,FN1 
LTF ,PPBP 
APOA1 ,ANXA2 
PKM ,ACVR2B 
ANXA2 ,HSD17B12 
ITGB2 ,FN1 
ITGB1 ,PON2 
PLXNB2 ,RYR2 
KRT1 ,CALU 
APOE ,CFD 
APOC3 ,SERPINF1 
GUSB ,PRSS3 
TFRC ,EFNB1 
M6PR ,ANXA2 
LGALS1 ,SDF4 
CALR ,CLU 
VTN ,F7 
ANXA1 ,CTSD 
IGF2R ,PKM
FOLR1 ,PKM 
NR3C4 ,SDF4 
ITGB2 ,KRT1 
CFB ,PKM 
ALB ,LCAT 
A2M ,CTSH 
ALB ,GPC4 
ITGB4 ,HSPA13 
HP ,STOML2 
APOC3 ,CCN3 
CD44 ,CLU 
TFRC ,GPC4 
ITGA4 ,ITGA5 
CLU ,CTSH 
APOC3 ,ITGB1
FOLR1 ,ITGA11 
CLU ,ITGA11 
ESR1 ,SDF4 
A2M ,SLC1A5 
A2M ,ITGB6 
ANXA2 ,AP2M1
TFRC ,APOA2 
APOC1 ,
FN1 ,ITGB1
ITGA4 ,PSAP 
ICAM2 ,OR2T6 
APOE ,SMPDL3A 
A2M ,HMGB2 
TFRC ,TF 
IGF2R ,ITGAV 
EGFR ,SLC1A5
CALR ,M6PR 
ITGB1 ,PRSS1 
HP ,ANXA1 
EL52 ,SERPINA1 
TF ,ACVR2B 
ANXA5 ,F7 
EGFR ,SDF2 
APOC3 ,AMBP 
FN1 ,CD44 
HP ,SAR1A 
LAMC1 ,LRP1 
NR3C1 ,ITIH1 
PIGR ,AHSG 
HSP90B1 ,CALU 
SERPING1 ,TFRC 
FGA ,ANXA1 
LAMC1 ,CFH 
ITGB4,HYOU1 
CALU ,DPP7 
ANXA1 ,APOA2 
P4HB ,FGB 
ITGB5 ,HP 
M6PR ,ANXA5 
CFB ,PCYOX1 
LTF ,PCYOX1 
CLU ,F7
APOC1 ,SERPINA12 
TGFBR2 ,TREML2 
ANXA5 ,SAR1A 
ITGB3 ,OR2T6 
PIGR ,THBS1 
NR3C4 ,HYOU1 
ALB ,CALU 
APOC3 ,HSP90AA1
ITGB5 ,FGFR2
PKM ,IGF2R 
SERPINA1 ,MYDGF 
APOC3 ,HP 
LTF ,ALB 
FGA ,IGFBP3 
FOLR1 ,P4HB 
F2 ,PSAP 
ANXA2 ,GUSB 
A2M ,ERBB2 
ALDOA ,APOA2 
ALDOA ,F2 
ITGB1 ,SERPINA12 
INHBA ,SDF4 
FGA ,FOLR1 
ITGB1 ,PCSK2 
EL52 ,SERPINI1 
VTN ,PRSS3 
LTF ,PRDX4 
EL52 ,CDH5 
ADAM17 ,ITGB1
TF ,HP 
ITGB2 ,SCARB1 
CLU ,THBS1 
CTSD ,SAR1A 
APOE ,AP2M1 
TFRC ,S100A4 
ALB ,ITGB3 
APOE ,ITGB4 
CALU ,F7 
LOX ,HSP90B1 
LAMA5 ,ERP44 
PKM ,ITGAV 
TF ,FGB 
A2M ,ITGA6
HP ,GUSB 
FN1 ,PRDX5 
ICAM2 ,C1QBP 
ANXA5 ,PCYOX1 
HEL111 ,CALR 
HSP90B1 ,P4HB 
CFB ,CALR 
CFD ,ITGB1
ITGB3 ,ITGB6 
NR3C4 ,BSG 
HEL111 ,PSAP 
LTF ,PRSS1 
ANXA5 ,SAA4 
ITGAV ,VCP 
TF ,FSTL1 
EGFR ,AHSG 
F2 ,PF4V1 
EGFR ,CALU 
ITGA5 ,IGFBP3 
A2M ,CFB 
TFRC ,CFH 
CTSD ,CALU 
PLXNB2 ,DCD 
M6PR ,PKM 
ANXA1 ,AP2M1
ITGB2 ,LAMC1 
P4HB ,ADRA1B 
F2 ,LAMC1 
ITGB1 ,ITGAX 
EL52 ,FGFR2 
APOC1 ,SERPINA5 
EL52 ,FN1 
F2 ,ITGB1
LOX ,P3H1 
CFD ,PCYOX1 
APOC1 ,CALR 
ITGA5 ,CFB 
FGA ,VCP 
ITGB4 ,CD44 
CTSL ,ALB 
HP ,PSAP 
TF ,FGG 
ANXA5 ,S100A8 
ITGB1 ,APOE 
A2M ,TACSTD2 
IGF2R ,HMGB1 
APOA1 ,S100A7 
ANXA2 ,HNRNPM 
CTSD ,AHSG 
LAMC1 ,RYR1 
ESR1 ,HSP90B1 
F2 ,ITGA11 
APOA1 ,APOA1 
LAMC1 ,NAXE 
LTF ,C1QC 
APOA2 ,SERPINA3 
TF ,SERPINA3 
ITGB3 ,F7 
TFRC ,GDF10 
LAMC1 ,MAG 
LAMA5 ,ITGA2 
ITGB1 ,ITGB2 
SERPING1 ,IGFBP3 
ITGB1 ,IGFBP3 
TGFBR2 ,BTD 
ALB ,SERPINF1 
LAMC1 ,ALDOA 
SERPIND1 ,SLC1A5 
TFRC ,APOE 
ANXA5 ,ITGAV 
EL52 ,SERPINA3 
HP ,CRISPLD2 
KRT1 ,PRDX4 
APOC1 ,AIP 
CP ,F7 
ITGA4 ,STOML2 
LOX ,C1QBP 
ANXA5 ,HSP90AA1
ALB ,CD151 
APOC1 ,ITGAV 
EGFR ,F2 
FGA ,CDH1 
TGFBR2 ,SCARB1 
ITGB1 ,ITGB7 
GUSB ,HSD17B12 
TF ,MICA 
HPX ,BSG 
ANXA2 ,VCP 
LDLR ,ITGA3 
KRT1 ,ICAM4
KRT1 ,F2 
A2M ,SERPIND1 
CLU ,HEL111 
APOE ,HSD17B12 
APOE ,TACSTD2 
P4HB ,FN1 
CP ,S100A7 
F2 ,HSPG2 
FGF1 ,FGFR2
ANXA2 ,SERPIND1 
EGFR ,CTSL 
PSAP ,F2 
HEL111 ,ANXA5 
ALDOA ,SAA4 
KRT1 ,CFD 
ESR1 ,P3H1 
PKM ,CTSG 
CTSD ,LGALS1 
LAMC1 ,ERP44 
APOC3 ,ITGB6 
ITGB5 ,PRTN3 
ANGPT2 ,HYOU1 
SERPING1 ,GUSB 
CD36 ,PRSS3 
GSN ,CTSL 
CLU ,PPBP 
CFD ,CFD 
APOE ,MSR1 
INHBA ,DCD 
FGA ,F7
APOC1 ,FGB 
TF ,HSP90AA1
ITGB5 ,MAG 
EGFR ,APOA2 
ITGB1 ,SFRP2 
APOC3 ,PVR 
ITGAV ,ACVR2B 
EGFR ,ITGAM 
FGA ,ITGA4 
ANXA5 ,APOE 
ANXA2 ,ADRA1B 
APOC1 ,FGFR2
FN1 ,CD276 
RPSA ,FGA 
ALB ,
EL52 ,FLT4
HSP90B1 ,ALB 
LAMC1 ,ITGB3 
GPC4 ,PRDX5 
CRTAP ,NAXE 
PIGR ,PIGR 
GUSB ,PIGR 
ITGB5 ,ITGB2 
CP ,ITGB4
PSAP ,F7 
EGFR ,ITGB1
LTF ,ERP44 
HP ,TFRC 
ITGB4 ,ATP1B3 
ITGB4 ,DPP7 
TFRC ,LRP1 
ITGB5 ,PON2 
ITGB3 ,ICAM4
LTF ,SAR1A 
SERPINA1 ,FN1 
TF ,CDH1 
ITGA3 ,ITGA3 
ANXA2 ,ITGB1
TFRC ,HPX 
VTN ,SLC1A5 
SERPINA1 ,ITGA2 
KRT1 ,AIP 
ITGB1 ,RUNX1 
PKM ,ITGB4
HEL111 ,CD276 
ITGB3 ,PIGR 
ITGB1,P3H1 
ITGAV ,RYR2 
VTN ,RYR2 
P4HB ,HSPG2 
LOX ,SDF4 
APOC1 ,RPSA 
ITGB4,ITGA6 
TF ,ELN 
LAMA5 ,ITGAM 
LAMA5 ,FGA 
CALU ,CD276 
CTSD ,P4HB 
ITGB4 ,ITIH1 
SERPINA1 ,STOML2 
TF ,BDNF 
ITGAV ,TGM4 
CTSD ,ALDOA 
KRT1 ,IGSF21 
LAMB1 ,FN1 
ITGB1 ,F7
GSN ,STOML2 
LTF ,STOML2 
ALB ,ALCAM 
PNP ,HMGB2 
F7,SDF2 
ANXA5 ,YARS1 
FOLR1 ,ERP44 
CTSL ,TSPEAR 
APOA2 ,AOAH 
ANXA5 ,B2M 
ITGB4,BSG 
ANXA2 ,CRTAP 
CLU ,ITGA5 
ITGA4 ,RPSA 
GPC4 ,SAR1A 
ITGB3 ,PRSS3 
TF ,ITGA6
P4HB ,SMPDL3A 
TF ,FGFR1 
TF ,LRP1 
NR3C4 ,PPT1 
EGFR ,CFB 
HP ,SLC1A5
LTF ,SIAE 
CLU ,KRT1 
LAMC1 ,C2 
LDLR ,BSG 
KRT1 ,GPC4 
HEL111 ,IGF2R 
CFD ,STOML2 
TF ,AOAH 
RPSA ,BTD 
ITGB1 ,IL17RA 
ITGB5 ,ERBB2 
CALR ,DPP7 
TOR1A ,PF4V1 
ITGB5 ,ADAMTS1 
VTN ,SFRP2 
TF ,CRTAP 
FOLR1 ,ITGA5 
PKM ,VCP 
ALB ,C1QA 
NR3C1 ,IGFBP3 
CD36 ,ANXA5 
MMP9 ,DCD 
ANXA5 ,OR3A2 
ITGB5 ,PCSK2 
EL52 ,LRP1 
ALB ,SERPINA5 
A2M ,EFNB1 
ITGB1 ,EFNB1 
ITGB2 ,L1CAM 
FGA ,LRP1 
A2M ,AIP 
F2 ,CTSL 
TFRC ,ADRA1B 
PIGR ,OR3A2 
GUSB ,P4HB 
SERPIND1 ,SDF2 
HEL111 ,HEL111 
ALB ,CHIT1 
CALU ,SIAE 
ITGB2 ,CLU 
ITGAV ,PRDX4 
EL52 ,CTSH 
KRT1 ,ACVR2B 
EGFR ,CD151 
APOC1 ,S100A4 
ITGB5 ,AIP 
ITGB5 ,FGB 
ITGA4 ,PRDX4 
AGR2 ,DCD 
APOC3 ,ITGB4 
TNFRSF10B ,C1QBP 
FGA ,CFB 
MMP9 ,KLK3 
ITIH1 ,SLC1A5 
FN1 ,HSPA13 
HP ,F2 
M6PR ,PRSS3 
CTSG ,DCD 
ITGB3 ,TF 
P4HB ,AP2M1 
CST3 ,CALR 
LAMC1 ,RYR1
CP ,MYDGF 
CLU ,TFRC 
APOC1 ,ITGB6 
CFD ,ITGA4 
APOC3 ,GPC4 
VTN ,ALDOA 
EL52 ,ITGA5 
DCN ,COL4A6
ITGA4 ,TFRC 
SERPING1 ,CTSD 
ESR1 ,DPP7 
PSAP ,CFH 
PSAP ,HSPG2 
ITGB3 ,ITGB3 
LTF ,SMPDL3A 
F7 ,BSG 
CALU ,VCP 
ALB ,AP2M1
SERPING1 ,ACVR2B 
ITGB5 ,GZMM 
FN1 ,COL5A1 
ITGB4 ,ITGB4 
PNP ,ALB 
MMP2,BSG 
CRTAP ,HMGB2 
ANXA1 ,SLC1A5
VTN ,CCN3 
TOR1A ,APOA2 
CLU ,F2 
P4HB ,SERPIND1 
TFRC ,ITGB3 
TOR1A ,DPP7 
ITGAV ,PTPRJ 
ANXA1 ,TSPEAR 
APOE ,FN1 
F7 ,C1QBP 
ITGB1 ,FGFR2
APOA2 ,VCP 
CFD ,EFNB1 
SERPINA1 ,RPSA 
CTSL ,F7 
ITGAV ,CTSH 
CD36 ,F7 
APOE ,PIGR 
ALB ,ITGAM 
APOA2 ,PRDX4 
ALDOA ,AP2M1
ITGB5 ,ELN 
CNMD ,RYR2 
NR3C1 ,SAA4 
APOC1 ,SERPINF1 
A2M ,AP2M1 
ALB ,CDH1 
PSAP ,HPX 
FGA ,SCARB1 
CFD ,THBS1 
TF ,IGFBP7 
ITGA4 ,IGF2R 
TF ,PTPRJ 
ITGB1 ,ICAM4
NR3C1 ,PRDX4 
ITGB1 ,EPHB4 
APOA2 ,ITGA4 
NR3C4 ,RYR2 
CLU ,STOML2 
ITGAV ,STOML2 
EGFR ,ADRA1B 
KRT1 ,THBS1 
ITGB1 ,LTBP4 
CTSD ,SAA4 
GPC4 ,KLK3 
ITGA4 ,L1CAM 
LTF ,CFD 
CLU ,ALDOA 
RPSA ,HMGB1 
SERPIND1 ,TREML2 
PNP ,RYR2 
ANXA1 ,RYR1 
MMP2,SDF4 
HEL111 ,P3H1 
CLU ,RYR1 
ESR1 ,HSPA13 
ANXA2 ,F7 
FGA ,AP2M1 
ANXA5 ,ITGA11 
LAMB1 ,PAPPA 
LAMA5 ,F2 
APOE ,AIP 
CTSL ,P3H1 
PSAP ,ITGA6
GUSB ,SMPDL3A 
ANXA5 ,FGA 
ITGB5 ,CD47
HSP90AA1,AP2M1
EGFR ,OR3A2 
ITGAV ,MYDGF 
HP ,ICAM4 
ESR1 ,ERP44 
GUSB ,PTPRJ 
BMPR1B ,HYOU1 
CFB ,FOLR1 
ITGB5 ,PLAT 
CALU ,F2 
ANXA2 ,HEL111 
HP ,HMGB1 
TF ,MSR1 
APOE ,PNLIP 
TFRC ,ACVR2B 
EL52 ,MMP1 
ITGB5 ,ITGA8 
GPC4 ,S100A7 
DCN,COL4A6 
ITGA3 ,THBS1 
HEL111 ,STOML2 
APOE ,ALCAM 
CALR ,CTSD 
APOE ,AZGP1 
FN1 ,ITGB4 
